,Prediction,Actual,Correct?,Open,Close,Diff,Profit/M
2015-05-07,Up,Down,False,19356.46094,19291.99023,-0.0033307075193055313,-7186.415038611062
2015-05-08,Down,Up,False,19315.63086,19379.18945,0.003290526230319557,-7106.052460639114
2015-05-09,Up,Up,True,,,,
2015-05-10,Up,Up,True,,,,
2015-05-11,Up,Same,False,19637.58008,19620.91016,-0.000848878524344121,-2222.7570486882423
2015-05-12,Up,Same,False,19608.23047,19624.83984,0.0008470611371798054,1169.1222743596106
2015-05-13,Up,Up,True,19568.75977,19764.7207,0.01001396778861885,19502.9355772377
2015-05-14,Up,Down,False,19661.51953,19570.24023,-0.0046425353778341005,-9810.070755668201
2015-05-15,Up,Same,False,19693.16992,19732.91992,0.002018466308952638,3511.9326179052755
2015-05-16,Up,Same,False,,,,
2015-05-17,Up,Same,False,,,,
2015-05-18,Down,Up,False,19766.16016,19890.26953,0.006278881127916636,-13082.762255833271
2015-05-19,Down,Same,False,19977.14063,20026.38086,0.0024648287215867093,-5454.657443173419
2015-05-20,Up,Same,False,20175.58984,20196.56055,0.0010394100081485558,1553.8200162971116
2015-05-21,Down,Same,False,20215.46094,20202.86914,-0.0006228796878475773,720.7593756951546
2015-05-22,Same,Same,True,20208.84961,20264.41016,0.00274931780245935,0.0
2015-05-23,Same,Same,True,,,,
2015-05-24,Same,Same,True,,,,
2015-05-25,Same,Up,False,20331.91992,20413.76953,0.00402567048867275,0.0
2015-05-26,Same,Same,True,20431.26953,20437.48047,0.00030399187827656604,0.0
2015-05-27,Up,Up,True,20380.64063,20472.58008,0.004511116783280311,8497.233566560622
2015-05-28,Up,Same,False,20590.2793,20551.46094,-0.0018852760292570325,-4295.552058514066
2015-05-29,Down,Same,False,20510.26953,20563.15039,0.002578262558795119,-5681.525117590239
2015-05-30,Up,Same,False,,,,
2015-05-31,Up,Same,False,,,,
2015-06-01,Up,Up,True,20444.53906,20569.86914,0.006130247281789236,11735.494563578472
2015-06-02,Same,Same,True,20604.66992,20543.18945,-0.0029838124191604587,-0.0
2015-06-03,Down,Same,False,20443.15039,20473.50977,0.0014850636727132827,-3495.127345426565
2015-06-04,Up,Same,False,20539.93945,20488.18945,-0.002519481623885711,-5563.963247771422
2015-06-05,Up,Up,True,20398.75977,20460.90039,0.003046294024766416,5567.588049532832
2015-06-06,Up,Up,True,,,,
2015-06-07,Up,Up,True,,,,
2015-06-08,Up,Down,False,20537.84961,20457.18945,-0.003927390721603419,-8379.781443206837
2015-06-09,Down,Down,True,20293.05078,20096.30078,-0.00969543722789623,18865.874455792462
2015-06-10,Down,Down,True,20126.35938,20046.35938,-0.003974886788491783,7424.773576983565
2015-06-11,Down,Up,False,20183.60938,20382.9707,0.009877386955256195,-20279.77391051239
2015-06-12,Up,Same,False,20431.7793,20407.08008,-0.0012088629011374197,-2942.725802274839
2015-06-13,Up,Same,False,,,,
2015-06-14,Up,Same,False,,,,
2015-06-15,Same,Up,False,20205.09961,20387.78906,0.009041749534834276,0.0
2015-06-16,Down,Down,True,20332.83008,20257.93945,-0.003683236898421871,6841.473796843742
2015-06-17,Up,Down,False,20306.09961,20219.26953,-0.004276059000382304,-9077.118000764607
2015-06-18,Up,Down,False,20193.58984,19990.82031,-0.010041281991295614,-20607.56398259123
2015-06-19,Down,Same,False,20152.41016,20174.24023,0.0010832485954126447,-2691.4971908252896
2015-06-20,Up,Same,False,,,,
2015-06-21,Up,Same,False,,,,
2015-06-22,Up,Up,True,20174.14063,20428.18945,0.01259279513607714,24660.59027215428
2015-06-23,Same,Up,False,20547.74023,20809.41992,0.012735205286367401,0.0
2015-06-24,Down,Same,False,20889.32031,20868.0293,-0.0010192294284371295,1513.458856874259
2015-06-25,Down,Same,False,20777.68945,20771.40039,-0.0003026833188135569,80.36663762711385
2015-06-26,Down,Same,False,20758.42969,20706.15039,-0.00251846121217858,4511.92242435716
2015-06-27,Same,Same,True,,,,
2015-06-28,Same,Same,True,,,,
2015-06-29,Same,Down,False,20305.9707,20109.94922,-0.009653391256001509,-0.0
2015-06-30,Down,Up,False,20174.60938,20235.73047,0.003029604630689464,-6584.209261378928
2015-07-01,Down,Same,False,20291.05078,20329.32031,0.0018860299752301302,-4297.059950460261
2015-07-02,Down,Same,False,20565.93945,20522.5,-0.0021122035346652357,3699.407069330471
2015-07-03,Same,Up,False,20476.68945,20539.78906,0.0030815337681451282,0.0
2015-07-04,Same,Up,False,,,,
2015-07-05,Same,Up,False,,,,
2015-07-06,Same,Down,False,20200.15039,20112.11914,-0.00435795022811214,-0.0
2015-07-07,Up,Same,False,20354.23047,20376.58984,0.0010985121757836058,1672.0243515672119
2015-07-08,Down,Down,True,20282.49023,19737.64063,-0.026863052505954443,53201.10501190888
2015-07-09,Down,Up,False,19422.7793,19855.5,0.02227903089029093,-45083.06178058186
2015-07-10,Up,Same,False,19829.92969,19779.83008,-0.0025264643285782817,-5577.9286571565635
2015-07-11,Down,Same,False,,,,
2015-07-12,Down,Same,False,,,,
2015-07-13,Down,Up,False,19929.91992,20089.76953,0.00802058466073352,-16566.16932146704
2015-07-14,Up,Same,False,20355.33008,20385.33008,0.0014738154518789681,2422.6309037579363
2015-07-15,Same,Same,True,20478.84961,20463.33008,-0.0007578321192623916,-0.0
2015-07-16,Same,Same,True,20588.98047,20600.11914,0.0005410015331370754,0.0
2015-07-17,Same,Same,True,20646.63086,20650.91992,0.00020773655658801182,0.0
2015-07-18,Same,Same,True,,,,
2015-07-19,Same,Same,True,,,,
2015-07-20,Same,Same,True,,,,
2015-07-21,Up,Up,True,20763.31055,20841.9707,0.0037884204356806173,7051.840871361234
2015-07-22,Down,Down,True,20657.80078,20593.66992,-0.003104437915873892,5683.875831747784
2015-07-23,Down,Same,False,20693.57031,20683.94922,-0.00046493137026970555,404.8627405394111
2015-07-24,Down,Same,False,20603.63086,20544.5293,-0.002868502178164256,5212.004356328513
2015-07-25,Down,Same,False,,,,
2015-07-26,Down,Same,False,,,,
2015-07-27,Down,Same,False,20374.05078,20350.09961,-0.0011755723129693862,1826.1446259387726
2015-07-28,Down,Up,False,20188.57031,20328.89063,0.006950483260842688,-14425.966521685375
2015-07-29,Down,Down,True,20425.68945,20302.91016,-0.00601102304529566,11497.04609059132
2015-07-30,Same,Up,False,20450.60938,20522.83008,0.0035314693395214203,0.0
2015-07-31,Up,Up,True,20506.55078,20585.24023,0.0038372835512028303,7149.567102405661
2015-08-01,Same,Up,False,,,,
2015-08-02,Same,Up,False,,,,
2015-08-03,Same,Same,True,20540.21094,20548.10938,0.00038453548617756184,0.0
2015-08-04,Same,Same,True,20462.17969,20520.35938,0.0028432792049242206,0.0
2015-08-05,Up,Up,True,20490.15039,20614.06055,0.006047303589361341,11569.607178722683
2015-08-06,Up,Down,False,20768.76953,20664.43945,-0.005023411707145042,-10571.823414290086
2015-08-07,Down,Up,False,20601.57031,20724.56055,0.00596994491921321,-12464.889838426421
2015-08-08,Up,Up,True,,,,
2015-08-09,Up,Up,True,,,,
2015-08-10,Up,Up,True,20618.31055,20808.68945,0.009233486882367359,17941.973764734717
2015-08-11,Up,Down,False,20920.59961,20720.75,-0.009552766829133974,-19630.53365826795
2015-08-12,Down,Down,True,20632.67969,20392.76953,-0.011627678207803305,22730.35641560661
2015-08-13,Down,Up,False,20392.53906,20595.55078,0.009955195839159048,-20435.391678318094
2015-08-14,Down,Same,False,20518.35938,20519.44922,5.3115357802946406e-05,-631.2307156058928
2015-08-15,Same,Same,True,,,,
2015-08-16,Same,Same,True,,,,
2015-08-17,Same,Same,True,20600.16016,20620.25977,0.0009757016374576377,0.0
2015-08-18,Same,Down,False,20640.58984,20554.4707,-0.00417231971894072,-0.0
2015-08-19,Down,Down,True,20467.49023,20222.63086,-0.011963331470953742,23401.662941907485
2015-08-20,Up,Down,False,20194.25977,20033.51953,-0.00795969953000164,-16444.39906000328
2015-08-21,Down,Down,True,19711.33984,19435.83008,-0.013977221347526658,27429.442695053316
2015-08-22,Down,Down,True,,,,
2015-08-23,Down,Down,True,,,,
2015-08-24,Down,Down,True,19075.05078,18540.67969,-0.028014137218459356,55503.27443691871
2015-08-25,Down,Down,True,18171.66016,17806.69922,-0.0200840724945629,39643.144989125794
2015-08-26,Down,Up,False,17894.28906,18376.83008,0.026966202366689673,-54457.40473337935
2015-08-27,Same,Down,False,18680.4707,18574.43945,-0.00567604808801736,-0.0
2015-08-28,Same,Up,False,18908.73047,19136.32031,0.012036230584654417,0.0
2015-08-29,Same,Up,False,,,,
2015-08-30,Same,Up,False,,,,
2015-08-31,Same,Down,False,19006.98047,18890.48047,-0.006129327074538726,-0.0
2015-09-01,Down,Down,True,18763.7207,18165.68945,-0.0318716772414972,63218.35448299439
2015-09-02,Down,Up,False,17861.81055,18095.40039,0.013077612672361516,-26680.225344723032
2015-09-03,Down,Down,True,18359.34961,18182.39063,-0.009638630112670965,18752.26022534193
